summary, host, categories, startTime, endTime, location, description, status, URL
"E Board Meeting","Alpha Sigma Alpha","GroupBusiness, Fraternity and Sorority Life",2022-01-23 18:30:00.0,2022-01-23 19:30:00.0,"Burke 106","Weekly Executive Board Meeting  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7714308",CONFIRMED,https://behrend.campuslabs.com/engage/event/7714308
"Chapter Meeting","Alpha Sigma Alpha","GroupBusiness, Fraternity and Sorority Life",2022-01-23 19:00:00.0,2022-01-23 20:00:00.0,"Burke 106","Weekly business chapter meeting  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7708204",CONFIRMED,https://behrend.campuslabs.com/engage/event/7708204
"MCC General Meetings","Multi-Cultural Council","Cultural, Meeting",2022-01-24 12:00:00.0,2022-01-24 13:00:00.0,"MCC Suite","Join MCC every Monday at 5:30pm for our weekly general meetings. All are welcomed :)  Hosted by: Multi-Cultural Council  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7673155",CONFIRMED,https://behrend.campuslabs.com/engage/event/7673155
"SWE General Meeting","Society of Women Engineers","Social",2022-01-24 15:30:00.0,2022-01-24 16:30:00.0,"Burke 104","  Join other female engineering students as we build relationships, learn about various engineering opportunities, and participate in outreach events on campus and the Erie area!          Hosted by: Society of Women Engineers  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7703557",CONFIRMED,https://behrend.campuslabs.com/engage/event/7703557
"Take Craft Night by Storm with ASA","Alpha Sigma Alpha","Social, Fraternity and Sorority Life",2022-01-24 18:00:00.0,2022-01-24 19:00:00.0,"Burke 106","Relax and get to know the sisters of Alpha Sigma Alpha over arts and crafts!  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7710390",CONFIRMED,https://behrend.campuslabs.com/engage/event/7710390
"Off-Ice Workout","Hockey Club","Athletics",2022-01-24 19:00:00.0,2022-01-24 20:00:00.0,"Erie Lot","Off-Ice Workout  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7426745",CONFIRMED,https://behrend.campuslabs.com/engage/event/7426745
"Super Smash Bros. Tournament","Niagara Hall","CommunityService, On-Campus",2022-01-24 19:00:00.0,2022-01-24 20:00:00.0,"Niagara Hall basement","Come participate in a Super Smash Bros. tournament in Niagara Hall basement. Food and prizes will be provided!  Hosted by: Niagara Hall  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7690473",CONFIRMED,https://behrend.campuslabs.com/engage/event/7690473
"Starry Sensory Jars","Alpha Sigma Tau","Social, Fraternity and Sorority Life",2022-01-24 19:00:00.0,2022-01-24 20:00:00.0,"Reed 113","Join the sisters of Alpha Sigma Tau to make some starry sensory jars! All materials will be provided by AST.   Hosted by: Alpha Sigma Tau  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7705310",CONFIRMED,https://behrend.campuslabs.com/engage/event/7705310
"Chi Alpha's Monday Night Live","Chi Alpha Campus Ministry","Spirituality",2022-01-24 19:30:00.0,2022-01-24 20:30:00.0,"Smith Chapel Sanctuary","Join us every Monday night at 7:30 pm for Chi Alpha's worship service! Each week we will have the opportunity to come together to worship and hear a brief message from one of our Chi Alpha Campus Pastors. After service, there will be time to get to meet others in Chi Alpha and find out more about what else we have going on during the week! All students are welcome to attend. All present will be required to adhere the Behrend's COVID guidelines. For more information, follow and message us on Instagram or Facebook (@behrendxa).  Hosted by: Chi Alpha Campus Ministry   Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7460380",CONFIRMED,https://behrend.campuslabs.com/engage/event/7460380
"GASE General Meeting","Gender and Sexuality Equality Club","GroupBusiness, Meeting, Cultural, On-Campus",2022-01-24 19:30:00.0,2022-01-24 20:30:00.0,"MCC Suite","Join GASE every Monday at 7:30pm for the weekly general meeting.  The meeting is devoted to group business of general interest and organization bonding through casual conversation and organized activities.  Hosted by: Gender and Sexuality Equality Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7657806",CONFIRMED,https://behrend.campuslabs.com/engage/event/7657806
"Monday Night Community Group","Cru","Spirituality, Religious / Spiritual",2022-01-24 19:30:00.0,2022-01-24 20:30:00.0,"Smith Chapel Living Room","Come join us as we get into the Word and get to know one another!  Hosted by: Cru  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7681637",CONFIRMED,https://behrend.campuslabs.com/engage/event/7681637
"Speaker Series Presents:  Ovilee May","Student Leadership and Involvement","Social",2022-01-24 19:30:00.0,2022-01-24 21:00:00.0,"McGarvey Commons","Ovilee May is a freelance esports & gaming hostess/interviewer who focuses on League of Legends and has also interviewed top players in the Rocket League, Heroes of the Storm, and Overwatch scene. Olivee graduated from Chapman University with a degree in both Communication Studies and Broadcast Journalism and served as president of the esports club. She has been a gamer since she was 3 years old and has been involved in the esports community since high school.  Hosted by: Student Leadership and Involvement  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7602944",CONFIRMED,https://behrend.campuslabs.com/engage/event/7602944
"Behrend Benefiting THON Eboard Meeting","Behrend Benefiting THON","GroupBusiness",2022-01-24 19:30:00.0,2022-01-24 21:30:00.0,"Reed 112","This meeting is for Behrend Benefiting THON executive board members only. General meetings are on Wednesday at 7:30 pm  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671237",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671237
"Minecraft Monday's","Triangle Fraternity","Social",2022-01-24 19:00:00.0,2022-01-24 22:00:00.0,"Online","Come play Minecraft with the brother's of Triangle on Discord!! Link to our Discord: https://discord.gg/2b3BgCvg Minecraft server tag: trianglepsb.us.to  Hosted by: Triangle Fraternity  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671305",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671305
"Panhellenic General Council","Panhellenic Council","GroupBusiness",2022-01-25 08:00:00.0,2022-01-25 09:00:00.0,"Reed 114","The Panhellenic Council consists of the four social sororities on campus, including Alpha Sigma Alpha, Alpha Sigma Tau, Phi Sigma Rho and Theta Phi Alpha. General meetings for the Panhellenic Council, include the Executive Board, each chapter delegate of the four social sororities and delegates from other large organizations on campus.   Hosted by: Panhellenic Council  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7700366",CONFIRMED,https://behrend.campuslabs.com/engage/event/7700366
"Student Activity Fee Proposal Deadline","Student Activity Fee Committee","GroupBusiness",2022-01-25 17:00:00.0,2022-01-25 17:01:00.0,"Online","Funding proposals for the Student Activity Fee are due by 5:00 p.m.  The SAF application is available on BehrendSync at https://behrend.campuslabs.com/engage/submitter/form/start/463660.  Hosted by: Student Activity Fee Committee  Online Location: https://behrend.campuslabs.com/engage/submitter/form/start/463660  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7039387",CONFIRMED,https://behrend.campuslabs.com/engage/event/7039387
"Psych Coalition Meetings","Psi Chi","Social, Meeting",2022-01-25 17:00:00.0,2022-01-25 18:00:00.0,"Turnbull 203","Weekly meetings and events hosted by Psych Coalition for all members and non-members of the club  Hosted by: Psychology Club, Psi Chi  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7725607",CONFIRMED,https://behrend.campuslabs.com/engage/event/7725607
"Greener Behrend General Meeting","Greener Behrend","GroupBusiness",2022-01-25 17:30:00.0,2022-01-25 18:30:00.0,"Reed 112","General meeting time for the Greener Behrend members and Eboard.  Hosted by: Greener Behrend  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7681617",CONFIRMED,https://behrend.campuslabs.com/engage/event/7681617
"Lion Entertainment Board Event Planning Meeting","Lion Entertainment Board","Social, Meeting, SAF/SGA Funded, On-Campus",2022-01-25 18:00:00.0,2022-01-25 19:00:00.0,"Reed 114","Want to get involved, aevents, build community and have fun? Join us at general meetings every Tuesday 6-7pm @ Reed 114! Dm us on Instagram @behrendleb or email Cindy at yjw5297@psu.edu for more information!  Hosted by: Lion Entertainment Board  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7632803",CONFIRMED,https://behrend.campuslabs.com/engage/event/7632803
"Cru Weekly Meeting","Cru","Spirituality, Religious / Spiritual",2022-01-25 19:00:00.0,2022-01-25 20:00:00.0,"McGarvey Commons","Starting at 7:00, the Cru Weekly Meeting is a place where anyone can come and explore spiritual topics and make meaningful friendships! Everyone is welcome!  Hosted by: Cru  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671765",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671765
"DSP Info Session","Delta Sigma Pi","GroupBusiness, Black School of Business",2022-01-25 20:00:00.0,2022-01-25 21:00:00.0,"Burke 002","Come and learn about what it is like being a brother in DSP: a professional co-ed business fraternity   Hosted by: Delta Sigma Pi  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7737015",CONFIRMED,https://behrend.campuslabs.com/engage/event/7737015
"Oliver's Game Night, with the brothers of Triangle","Triangle Fraternity","Social, Fraternity and Sorority Life",2022-01-25 19:00:00.0,2022-01-25 22:00:00.0,"Oliver's Game Room","Come play some games and hang out with the brothers of Triangle! There will be pizza!  Hosted by: Triangle Fraternity  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7705236",CONFIRMED,https://behrend.campuslabs.com/engage/event/7705236
"Global Eats - India And Nepal","South Asian Student Organization","Cultural",2022-01-26 12:00:00.0,2022-01-26 13:00:00.0,"Reed Fish Bowl","Join us to taste some Indian and Nepali treats (some you have maybe never had before), and also to learn a few things about the Indian and Nepali culture and learn the art of Rangoli.  There will be a chance to answer a trivia question to enter a drawing for some yummy prizes too!  Don't miss this fun event by the Global Ambassadors!   Hosted by: Global Ambassadors, International Student Services, South Asian Student Organization  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7732722",CONFIRMED,https://behrend.campuslabs.com/engage/event/7732722
"International Business Club Bi-Weekly Meeting","International Business Club","Social",2022-01-26 17:00:00.0,2022-01-26 18:00:00.0,"Burke 102","International Business Club bi-weekly general meeting. Come learn about the IB major, study abroad options, and get to know others in the major! Open to all students, faculty, staff.   Hosted by: International Business Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7737079",CONFIRMED,https://behrend.campuslabs.com/engage/event/7737079
"College Republicans - Weekly Meeting","College Republicans","Social",2022-01-26 18:00:00.0,2022-01-26 19:00:00.0,"Burke 102","College Republicans weekly meeting. All political affiliations are welcome. Come to learn about current political topics, and to debate with College Democrats!  Hosted by: College Republicans  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7737123",CONFIRMED,https://behrend.campuslabs.com/engage/event/7737123
"Cheerleading Practice","PSB Competitive Cheerleading","Athletics",2022-01-26 17:15:00.0,2022-01-26 20:00:00.0,"Fasenmyer","Cheerleading Practice   Hosted by: PSB Competitive Cheerleading  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7688473",CONFIRMED,https://behrend.campuslabs.com/engage/event/7688473
"3,2,1... Philanthropy","Alpha Sigma Tau","Social, Fraternity and Sorority Life",2022-01-26 19:00:00.0,2022-01-26 20:00:00.0,"Reed 150","Come join the sisters of Alpha Sigma Tau in making cards for a good cause! All materials will be provided.   Hosted by: Alpha Sigma Tau  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7705312",CONFIRMED,https://behrend.campuslabs.com/engage/event/7705312
"Behrend Benefiting THON General Meeting","Behrend Benefiting THON","Fundraising",2022-01-26 19:30:00.0,2022-01-26 20:30:00.0,"Reed 117","Join us every Wednesday at 7:30 for Behrend Benefiting THON's general meetings! These meetings are open to all students and a great way to meet friends and foster new relationships. Our main goal is to raise money to end pediatric cancer, but we also try to have some fun while doing it! We have a wide variety of committees for you to join and there is something for everyone. We can't wait to see you there!  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671159",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671159
"Behrend Benefiting THON Morale Meeting","Behrend Benefiting THON","Fundraising",2022-01-26 19:30:00.0,2022-01-26 20:30:00.0,"Reed 112","Meeting for Behrend Benefiting THON's Morale committee  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671178",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671178
"Behrend Benefiting THON Fundraising Meeting","Behrend Benefiting THON","Fundraising",2022-01-26 19:30:00.0,2022-01-26 20:30:00.0,"Reed 114","Meeting for Behrend Benefiting THON's Fundraising committee  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671194",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671194
"Behrend Benefiting THON Special Events Meeting","Behrend Benefiting THON","Fundraising",2022-01-26 19:30:00.0,2022-01-26 20:30:00.0,"Reed 113","Meeting for Behrend Benefiting THON's Special Events committee  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671210",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671210
"Astronomy Open House Night: Recreating the Early Universe in Atomic Collisions","School of Science","ThoughtfulLearning, School of Science",2022-01-26 19:30:00.0,2022-01-26 20:30:00.0,"101 Otto Behrend Building","Title: Recreating the Early Universe in Atomic CollisionsDate: Wednesday, January 26, 2022Time: 7:30 PMLocation: 101 Otto Behrend Building    Presenter Information:Dr. Dustin HemphillAssistant Teaching Professor of PhysicsPenn State Behrend   What made up our early universe and how did this matter? Droplets of the early universe are produced in very energetic collisions between atomic nuclei. The resulting medium is a plasma of sub-nucleon particles known as quarks and gluons. While the theoretical description of the quark gluon plasma has been developed since the 1980’s. experiments at the Relativistic Heavy Ion Collider (RHIC) – starting in the year 2000, found completely unpredicted behavior.Dr. Hemphill’s thesis work advanced the understanding of this unexpected behavior. A 15-minute question and answer session will be held after the lecture. Astronomical observing will follow the lecture– weather permitting.  Hosted by: School of Science  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7723588",CONFIRMED,https://behrend.campuslabs.com/engage/event/7723588
"Practice","Hockey Club","Athletics",2022-01-26 21:00:00.0,2022-01-26 22:30:00.0,"Flo Fabrizio (JMC)","PSB Hockey practice  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7419362",CONFIRMED,https://behrend.campuslabs.com/engage/event/7419362
"International Student Orientation Leader - Open Positions","International Student Orientation Leaders","Cultural, Late Night, Leadership Development, On-Campus, Welcome Week, Career Exploration",2022-01-10 12:00:00.0,2022-02-28 13:00:00.0,"Perry Hall","The International Student Services office is searching for fall 2022 international student orientation leaders! If you are interested in developing your leadership skills, building your resume, learning about other cultures, or simply looking to meet some new people - this experience might be right for you!  If you have questions or want more information, you can stop by the ISS office (located in Perry Hall) or email rikihay@psu.edu.  Ready to apply? You can find the link to apply here!  Hosted by: International Student Services, International Student Orientation Leaders  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7695420",CONFIRMED,https://behrend.campuslabs.com/engage/event/7695420
"Global Ambassadors - Open Search for New Ambassadors","International Student Orientation Leaders","Cultural, Off-Campus, Leadership Development, On-Campus",2022-01-10 12:00:00.0,2022-03-31 13:00:00.0,"Perry Hall","If you are interested in growing personally and professionally, have an interest in cultures, or have a desire to share your own culture - consider becoming a Global Ambassador!  Want to know more about the opportunity? Stop into the International Student Services office in Perry Hall.  Want to apply? You can find a link to the application on the Global Ambassadors BehrendSync page.   Hosted by: Global Ambassadors, International Student Services, International Student Orientation Leaders  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7695584",CONFIRMED,https://behrend.campuslabs.com/engage/event/7695584
