summary, categories, startTime, endTime, location, description, status, URL
AMA Chapter Meetings,"GroupBusiness",2020-12-01 18:00:00.0,2020-12-01 19:00:00.0,Burke 204,"AMA member meeting  Hosted by: American Marketing Association at Behrend  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5714168",CANCELLED,https://behrend.campuslabs.com/engage/event/5714168
AMA Chapter Meeting,"GroupBusiness",2020-12-01 18:00:00.0,2020-12-01 19:00:00.0,Online,"AMA Chapter Meeting  Hosted by: American Marketing Association at Behrend  Online Location: https://psu.zoom.us/j/98838888213  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6146362",CONFIRMED,https://behrend.campuslabs.com/engage/event/6146362
AMA Coffee and Chat,"GroupBusiness, Black School of Business",2020-12-01 19:00:00.0,2020-12-01 20:00:00.0,Online,"AMA at Behrend is hosting a weekly coffee and chat event. The event will be held Sept. 1st  Oct. 13th  Nov. 10th  Dec. 1st at 7:00 P.M. and each week will be a different topic we discuss. We will drink coffee while we discuss shows  movies  fun advertisements and much more. Make sure to join us!  Hosted by: American Marketing Association at Behrend  Online Location: https://psu.zoom.us/j/99502730797  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6197673",CANCELLED,https://behrend.campuslabs.com/engage/event/6197673
Women's Life Group,"Spirituality",2020-12-01 19:30:00.0,2020-12-01 21:30:00.0,Online,"All women of PSB are invited to join us for a weekly small group Bible study hosted by Chi Alpha! During Life Group we will spend time together  study the Bible  learn how it applies to our lives  and pray for one another. For more info  check out our website or fill out this short form and one of our Life Group leaders will get back to you shortly (https://www.behrendchialpha.com/get-involved).     Hosted by: Chi Alpha Campus Ministry   Online Location: https://us02web.zoom.us/j/81277969639?pwd=bGlRZWNtRXhCRVU3QWI4MjYzazd0QT09  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6432453",CONFIRMED,https://behrend.campuslabs.com/engage/event/6432453
Recent Graduate Panel and Election,"ThoughtfulLearning, Black School of Business",2020-12-02 17:00:00.0,2020-12-02 18:00:00.0,Online,"Join us for a panel discussion with some recent graduates to get advice on how to succeed and how to apply yourself in college so you can find a job after graduation! Speakers include Kristen Everett  Anna Reed  Alex Collins  Anthony Deppas  and Jake Jenkins. Don't miss this great opportunity to hear from people who were in you shoes not that long ago! We will also be holding elections for a new Accounting club President  Vice President  Secretary and Treasurer. If you are interested in getting more involved  find out more at this meeting!  Hosted by: Accounting Club  Online Location: https://psu.zoom.us/j/478109857?pwd=aEJ4T0Y4bHM0Zkx3Y2hsczZwNlM2QT09  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6625125",CONFIRMED,https://behrend.campuslabs.com/engage/event/6625125
Conversations in Sustainability- Climate Change,"ThoughtfulLearning, Lecture / Speaker, Sustainability, Speaker Series",2020-12-02 18:00:00.0,2020-12-02 19:00:00.0,Online,"This is the last event in the "Conversations in Sustainability" series. Special speakers will be discussing the reality of climate change and the effects it is having on people all around the world. All events in the "Conversations in Sustainability" series encourage questions and active participation.  Join us for an engaging conversation and have some fun playing a Kahoot game where you have a chance to win prizes!   Hosted by: Greener Behrend  Office of Residence Life  Online Location: https://psu.zoom.us/j/97077169817?pwd=NTZyU1IycmJCR0F1VHBNUXNXN1pkUT09  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6383756",CONFIRMED,https://behrend.campuslabs.com/engage/event/6383756
General Meeting,"GroupBusiness, Meeting, Community Service / Philanthropy",2020-12-02 19:30:00.0,2020-12-02 20:30:00.0,Reed 114,"Behrend Benefiting THON general meeting  all are welcome!  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5707203",CANCELLED,https://behrend.campuslabs.com/engage/event/5707203
Greener Behrend General Meeting,"GroupBusiness",2020-12-03 18:00:00.0,2020-12-03 19:00:00.0,Online,"Greener Behrend General Meeting  Hosted by: Greener Behrend  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6212812",CANCELLED,https://behrend.campuslabs.com/engage/event/6212812
SGA General Meeting,"CommunityService",2020-12-03 18:00:00.0,2020-12-03 19:00:00.0,Online,"The SGA will be hosting the weekly Senate meeting in order to fulfill its obligation to the students and the community. This event is opened and encouraged for all students to attend.   Hosted by: Student Government Association  Online Location: https://psu.zoom.us/j/4264743131   Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6493520",CONFIRMED,https://behrend.campuslabs.com/engage/event/6493520
Let's among us!,"Social",2020-11-30 01:00:00.0,2020-12-06 23:45:00.0,Online,"This semester is so special that we don't have much chance to hang out with friends in person. Join ASO and CCAC for the Among Us competition after Thanksgiving break. There will be five winners for the $20 Amazon gift card. If you already have a team  that's awesome! If you don't  we can help find some teammates! Grab your friend and have fun together!  Hosted by: Asian Student Organization  Chinese Cultural Advancement Club  Online Location: https://discord.gg/Mhqh5fbm4v  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6616920",CONFIRMED,https://behrend.campuslabs.com/engage/event/6616920
Eboard Meeting,"GroupBusiness",2020-12-07 17:00:00.0,2020-12-07 18:30:00.0,Reed 150,"Behrend Benefiting THON Executive Board Meetings.  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5707187",CANCELLED,https://behrend.campuslabs.com/engage/event/5707187
MCC Fall Meeting,"Cultural",2020-12-07 17:30:00.0,2020-12-07 18:30:00.0,MCC Suite,"Weekly general meetings where MCC and Reps of clubs under MCC Umbrella meet   Hosted by: Multi-Cultural Council  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5827853",CANCELLED,https://behrend.campuslabs.com/engage/event/5827853
Model UN General Meeting,"GroupBusiness, Academic, Humanities and Social Sciences",2020-12-07 19:00:00.0,2020-12-07 20:00:00.0,Online,"The goal of the Model UN general meetings is to build community while working on professional skills and knowledge  such as public speaking and international and community engagement. Anyone of any experience level is welcome to join  and there are no preferred majors or career goals. You are welcome to join in any way you can! We look forward to meeting you.  Hosted by: Penn State Behrend United Nations  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6414146",CONFIRMED,https://behrend.campuslabs.com/engage/event/6414146
GASE General Meeting,"Social, Meeting, Cultural, On-Campus",2020-12-07 19:30:00.0,2020-12-07 20:30:00.0,MCC Suite,"Join the Gender and Sexuality Equality Club for weekly general business meetings!  Hosted by: Gender and Sexuality Equality Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5707167",CANCELLED,https://behrend.campuslabs.com/engage/event/5707167
GASE General Meeting,"Cultural",2020-12-07 19:30:00.0,2020-12-07 20:30:00.0,Online,"Come on out and join the GASE for the weekly general business meeting!  In accordance with new guidelines and regulations from the Administration  GASE will be holding all general meetings virtually via Zoom each week.   The full information to access the weekly general meetings will be posted in the organization Discord server. Please contact a member of the executive board to be invited to the server.  Hosted by: Gender and Sexuality Equality Club  Online Location: https://psu.zoom.us/j/94653829985?pwd=eW9jUDV2cDIGUEM1TkxGcCtUajINZz09  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6147394",CONFIRMED,https://behrend.campuslabs.com/engage/event/6147394
MCC General Meetings,"Cultural, Meeting",2020-12-07 20:00:00.0,2020-12-07 21:00:00.0,Online,"Join MCC for their general meetings every Monday at 8pm  Hosted by: Multi-Cultural Council  Online Location: https://psu.zoom.us/j/3377390575  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6212845",CONFIRMED,https://behrend.campuslabs.com/engage/event/6212845
Volunteers needed!,"CommunityService, Off-Campus",2020-05-06 12:00:00.0,2021-01-01 13:00:00.0,Pennsylvania,"The United Way  ServErie  and county officials have partnered together to host a site for volunteer opportunities.  SERVING PA: CLARION  CLEARFIELD  CRAWFORD  ELK  ERIE  FOREST  JEFFERSON  MCKEAN  POTTER  VENANGO AND WARREN COUNTIES. Visit pa211nw.org to fill out the volunteer form. They will ask about your health and what type of assistance you are able to offer. Some examples are:   wherever most needed driving  shopping delivering groceries data entry preparing or serving food cleaning   Hosted by: Civic and Community Engagement  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5710999",CONFIRMED,https://behrend.campuslabs.com/engage/event/5710999
Volunteer Virtually!,"CommunityService, Community Service / Philanthropy",2020-05-06 12:00:00.0,2021-01-01 13:00:00.0,Virtual,"Below you'll find lots of ways to volunteer virtually - from anywhere in the world!      Free Rice   This fun online game (or free app!) allows you to answer questions under categories like Flags of the World  Human Anatomy  Famous Paintings  Language Learning  Math  and many more! For each correct answer  10 grains or rice are donated through the United Nations World Food Programme to combat food insecurity across the globe.   Crisis Text Line:     Become a volunteer to help the Crisis Text Line offer free  24/7 support for those in crisis. If you can commit to volunteering four hours each week  you can apply to be trained for free.    Smithsonian Digital Volunteer:    The Smithsonian Institution is the world’s largest museum  education  and research complex. Help make their collections more accessible by volunteering online to transcribe historical documents or edit Wikipedia articles related to their artifacts and research.    7 Cups:   7 Cups provides free  24/7 emotional support to millions via online chat. All you need is an internet connection and you can sign up for their trainings  then you can help provide emotional support to people!    Be My Eyes:   Be My Eyes is a free mobile app designed to make the world more accessible for blind and low-vision people by connecting them with sighted volunteers from all over the world through a live video call. Read a card  check an expiration date  or describe items on a shelf!   Project Gutenburg:    Founded in 1971  the goal of Project Gutenburg is to create the largest digital library. So far they’ve amassed 59 000 free eBooks. You can volunteer by donating eligible materials  transcribing books into a digital form  or proofreading others’ work.    Charity Miles   This free app is great to use for all your indoor or outdoor walks and runs! With a variety of charities to choose from (Autism Speaks  Feeding America  Habitat for Humanity  Wounded Warrior Project  and lots more) you’re sure to get invested. For every mile you move  you help earn money for your charity from the corporate sponsorship pool. You can also get sponsored by your friends!   ResQwalk   This free mobile app lets you raise money and resources for your favorite animal welfare organization  and all you have to do is walk! You might find you can support your local animal rescue  or you can support a national center! Take your dog for a walk  or just head out into the fresh air for yourself – but activate the app to raise money while you’re at it!    Translators Without Borders   This non-profit working towards a world where knowledge knows no language barriers. If you speak more than one language  your knowledge is extremely valued! A sign that reads “Wash Your Hands for at Least 20 Seconds” means nothing if it isn’t in your language. Help medical workers by translating materials online.    Box Tops for Education   Download the free Box Tops app to scan grocery receipts and earn money for the school of your choice! The app keeps track of your totals  the school’s yearly goal  and makes sure the funding gets directly to the school administrators.    2020 Census   The 2020 Census counts every person living in the United States and five U.S. territories. Encourage your networks to complete their census information! The website has great social media posts already written  and lots of graphics to share.     Voter Registration   First  check to see the deadlines around voter registration for your state  then start your campaign! Let your network know when and how they can register to vote!    Educate Yourself on the United Nations Global Sustainable Development Goals!    Go to the U.N. website linked above  or check out this pdf guide to the Sustainable Development Goals.      Platforms to Find Volunteer Projects:     Erie Volunteers Needed NOW   If you want to volunteer locally now during the outbreak – the best place to be connected to an opportunity is The United Way of Erie County’s 211 site. Fill out a volunteer form to make sure you pass the health requirements  then they’ll match you with an organization that has requested immediate assistance.      United Nations Volunteering:    This incredible site connects you with organizations working for peace and development in need of skills like research  writing  art  and design. Lend your talents to nonprofits and organizations all over the world looking for your skillset!   Zooniverse:    You got skills? Zooniverse is a platform for people-powered research! Spend as much or as little time as you’d like identifying endangered animals  classifying galaxy systems  or transcribing Shakespearean manuscripts.   Catchafire:    Your virtual volunteering headquarters! Each project listed has a timeline that can range anywhere from an hour to a few weeks. So whether you have an afternoon or several (all of us right about now) you can help nonprofits and organizations with tasks like writing thank you letters or editing photos.      Points of Light’s All For Good   This large database has virtual volunteering opportunities and suggestions from writing to first responders  to facilitating a presentation to kids on what happens when they dial 911!     VolunteerMatch   At Behrend  we use this site all the time! Find opportunities in your community by filtering with your location  or find virtual opportunities!      GetConnectedErie    Our absolute favorite site for getting involved locally! Run by United Way of Erie County  local nonprofits and organizations post service opportunities AND donations they’re looking for. Contact them directly  or respond to a particular call for volunteers.      55 Environmental Service Learning Projects   Check out all the ways you can engage with making our plant and ecosystems healthier during stay-at-home orders  or anytime!      Hosted by: Civic and Community Engagement  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5711703",CONFIRMED,https://behrend.campuslabs.com/engage/event/5711703
Call for SGA Proposals,"GroupBusiness",2020-10-09 12:00:00.0,2021-01-13 17:00:00.0,BehrendSync,"Don't forget to submit your SGA Proposal.  Click here for the link.  Hosted by: Student Government Association  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6165645",CANCELLED,https://behrend.campuslabs.com/engage/event/6165645
